news_id,general_category,title,abstract,text,tfidf_vector,sbert_vector,openai_vector
N41559,football,"Regional predictions: New Palestine-Cathedral, Warren Central-Center Grove headline matchups",High school football on to regional showdowns this week,"Regional predictions: New Palestine-Cathedral, Warren Central-Center Grove headline matchups High school football on to regional showdowns this week","[-0.05880899692037425, -0.010118642379470499, -0.0406426423276767, -0.05942035030243967, -0.09382400063900724, 0.0061573235038736955, -0.15961997371775274, 0.04229947911032438, 0.026402696644206344, 0.03414300473365984]","[-0.1833610236644745, 0.14735688269138336, -0.14813001453876495, -0.08638954907655716, 0.32684552669525146, 0.18567682802677155, 0.053141068667173386, 0.15336424112319946, -0.027192270383238792, -0.03441118076443672]","[-0.13654752727181646, -0.10348636946839294, -0.13950200648527097, 0.18903319995841464, 0.24770961033884176, -0.03605878498343152, -0.15083100729926435, -0.1025242296571748, 0.019011007260078948, -0.17509898170118463]"
N13987,football,Were Bengals right to cut Preston Brown now?,The Cincinnati native will now be looking for a new team after less than two seasons with his childhood team.,Were Bengals right to cut Preston Brown now? The Cincinnati native will now be looking for a new team after less than two seasons with his childhood team.,"[-0.025648294352598168, -0.024925985516669608, 0.004672311984902946, -0.07216245117590563, -0.07452605162514549, 0.1439650212287198, -0.16567011013403254, 0.014020479640291886, -0.06503271075347006, -0.13747568471921615]","[-0.29932504892349243, -0.16930851340293884, 0.16989675164222717, -0.1719989776611328, -0.055867426097393036, -0.046273957937955856, -0.06316109001636505, 0.038619514554739, 0.13352692127227783, -0.035418108105659485]","[-0.17844675026381612, 0.145661685083189, 0.05820727177244098, -0.07033049633019915, 0.1257527700836183, -0.18076683745456196, 0.12659860388266445, -0.029627790691770853, 0.00219061027970236, -0.030471184434145187]"
N35221,football,"Bill Belichick Gives Initial Thoughts On Mohamed Sanu, Cracks Rutgers Joke",FOXBORO Mass. -- Mohamed Sanu was bound to wind up with the New England Patriots at some point. He is a Rutgers alum after all. Not only did Sanu go to,"Bill Belichick Gives Initial Thoughts On Mohamed Sanu, Cracks Rutgers Joke FOXBORO Mass. -- Mohamed Sanu was bound to wind up with the New England Patriots at some point. He is a Rutgers alum after all. Not only did Sanu go to","[-0.042350373467326216, -0.010265155624965232, -0.03748785127519157, -0.015109750226856152, -0.03813651173092894, 0.026958240267172577, -0.005746377454328645, -0.03172227780672352, 0.004096919175129646, -0.028017800393435974]","[-0.1925906240940094, -0.22447727620601654, 0.15280276536941528, -0.1158713698387146, 0.09404785931110382, -0.16078618168830872, -0.07604187726974487, 0.0607185885310173, 0.12179528176784515, 0.012793248519301414]","[-0.16608010819722868, 0.21998306464426018, 0.0698729182489864, -0.005804792268792282, 0.22196817774477623, -0.09617284187617578, 0.058694748842362726, -0.14354689634860862, 0.060304203790976584, -0.1295184418384713]"
N10579,football,Bartram Trail roars past Spruce Creek for 42-0 win in Region 1-8A quarterfinal,"ST. JOHNS -- Bartram Trail's dominance was immediate on Friday in the first round of the Class 8A playoffs, leading the Bears to a 42-0 victory over Spruce Creek. With highly touted Spruce Creek running back Marvin Scott III lined up as the lone back on the game's first offensive play, the handoff exchange between quarterback Nick Cristiano and Scott never happened. Bears senior defensive ...","Bartram Trail roars past Spruce Creek for 42-0 win in Region 1-8A quarterfinal ST. JOHNS -- Bartram Trail's dominance was immediate on Friday in the first round of the Class 8A playoffs, leading the Bears to a 42-0 victory over Spruce Creek. With highly touted Spruce Creek running back Marvin Scott III lined up as the lone back on the game's first offensive play, the handoff exchange between quarterback Nick Cristiano and Scott never happened. Bears senior defensive ...","[-0.026869639938595345, -0.026730626083646868, 0.06278319976553112, 0.016528028432421286, -0.06231147739584611, -0.04917353469718802, 0.013382546074831546, 0.03435007813791303, 0.05665908590030091, 0.027605220632083947]","[-0.1338389813899994, 0.18439437448978424, -0.0733262300491333, -0.11360577493906021, 0.2364138662815094, 0.050280313938856125, -0.002146815648302436, -0.05825897678732872, 0.19700276851654053, -0.08633414655923843]","[-0.13791282951270512, -0.07609840857506203, 0.012619425170443697, 0.15029592008058476, 0.2400490697020297, 0.065688658777496, 0.003769190246749438, 0.16236225098238724, 0.04211901474959664, -0.10892207307437311]"
N44859,football,An A to Z guide to attending Michigan vs. Michigan State at the Big House,"(Mike Mulholland | MLive.com) ANN ARBOR, MI - There will be no love lost in Ann Arbor this weekend when Michigan State comes to town looking to reclaim the Paul Bunyan Trophy from Michigan. While both teams had bigger aspirations of a conference title coming into the season, they'll look to secure in-state bragging rights for their annual rivalry match at noon Saturday inside Michigan Stadium. ...","An A to Z guide to attending Michigan vs. Michigan State at the Big House (Mike Mulholland | MLive.com) ANN ARBOR, MI - There will be no love lost in Ann Arbor this weekend when Michigan State comes to town looking to reclaim the Paul Bunyan Trophy from Michigan. While both teams had bigger aspirations of a conference title coming into the season, they'll look to secure in-state bragging rights for their annual rivalry match at noon Saturday inside Michigan Stadium. ...","[-0.029779391708750245, -0.025948154249870507, -0.04241909106574302, -0.015076967584754972, -0.019418856331726353, -0.022737914693135776, -0.07173662703758002, 0.0034866747249111584, 0.044716373464440934, 0.15027371399468123]","[-0.20701710879802704, 0.2293197363615036, -0.01572754979133606, -0.06498480588197708, 0.2531263828277588, 0.12887480854988098, -0.017424724996089935, 0.15661124885082245, -0.1638334095478058, 0.08587552607059479]","[-0.15702902249195783, -0.08149172799116275, -0.030801124275180048, 0.15938643198992794, 0.25751203478213214, 0.09806769678454844, -0.06664218225373283, -0.10215676627303777, -0.0871716951541119, -0.17625920428492078]"
N20150,football,Monday's Mashup: Rob Gronkowski compares Bill Belichick to The Grinch,"Welcome to Monday's Morning Mashup. For the latest news, start at our WEEI.com home page or click here for the top stories from our news wire. MONDAY'S BROADCAST HIGHLIGHTS: NFL: Patriots at Jets, 8:15 p.m. (ESPN) AROUND THE WEB: -- Rob Gronkowski was back in his role as an NFL analyst on FOX NFL Sunday this week and he compared former coach Bill Belichick to The Grinch. Last week Gronkowski compared Julian Edelman to a squirrel, so this week...","Monday's Mashup: Rob Gronkowski compares Bill Belichick to The Grinch Welcome to Monday's Morning Mashup. For the latest news, start at our WEEI.com home page or click here for the top stories from our news wire. MONDAY'S BROADCAST HIGHLIGHTS: NFL: Patriots at Jets, 8:15 p.m. (ESPN) AROUND THE WEB: -- Rob Gronkowski was back in his role as an NFL analyst on FOX NFL Sunday this week and he compared former coach Bill Belichick to The Grinch. Last week Gronkowski compared Julian Edelman to a squirrel, so this week...","[-0.04431657583104824, -0.01826041665984256, -0.04560425859640147, -0.031052966098749128, -0.09807381773928903, 0.017828944835777922, -0.01957657588331995, -0.09029665150813065, -0.03441012684459384, -0.13114635770411814]","[-0.21587364375591278, -0.1340726613998413, 0.08727216720581055, -0.13954861462116241, 0.07060550898313522, -0.22308726608753204, 0.006090836133807898, -0.06158391013741493, -0.09441439807415009, 0.02352745085954666]","[-0.21951788517943163, 0.0803186852590811, 0.03228627740351784, -0.003920089082189674, 0.013726683066154755, 0.06506445731816153, 0.07727467515164536, -0.07395375074790464, -0.006221931964168283, -0.19395656187126178]"
N56030,football,"What the committee got right, wrong in the second College Football Playoff ranking",SportsPulse: Georgia at No. 4? Really? According to Dan Wolken the committee missed the mark with their second College Football Playoff ranking.,"What the committee got right, wrong in the second College Football Playoff ranking SportsPulse: Georgia at No. 4? Really? According to Dan Wolken the committee missed the mark with their second College Football Playoff ranking.","[0.004656124617544612, -0.006161986986579766, -0.03543485694925776, -0.05505664554096077, -0.08325101120399798, -0.0020387823003792855, -0.13925100356727574, 0.03797195369933878, 0.01770777958171635, 0.07409337899345037]","[-0.11757010966539383, 0.14395621418952942, -0.009238282218575478, -0.2644350528717041, 0.2015371173620224, -0.020299917086958885, -0.038431890308856964, -0.07446926832199097, 0.07487861067056656, -0.0978798046708107]","[-0.11661570588032348, -0.04797246389500772, -0.11766596788119899, 0.04305695361916813, 0.1497611468808856, 0.06755813711394598, 0.005292546218330801, -0.1748514094138093, 0.000312292821490833, -0.1630470574025328]"
N22761,football,"Jalen Ramsey traded to the Rams, not the Eagles",Howie Roseman didn't make it happen.,"Jalen Ramsey traded to the Rams, not the Eagles Howie Roseman didn't make it happen.","[-0.0059374397133312605, 0.002987497994841573, -0.026294873035483637, -0.01565979309276413, -0.025658861271950273, 0.0018219623824925065, -0.054586770265152275, -0.024836502094260787, -0.07373559136740154, -0.02503731873336162]","[-0.26719930768013, -0.22152158617973328, 0.08617912232875824, -0.05777757987380028, -0.046719036996364594, -0.004180870484560728, -0.008898235857486725, -0.035989582538604736, 0.19246944785118103, -0.007894953712821007]","[-0.16870370355250727, 0.041320244437887246, 0.08531604480530759, -0.049785456739592254, -0.008420096956780391, -0.08952103372733625, 0.12948135506689804, 0.020592408419686424, -0.0019258058396231684, -0.0069413203344569335]"
N55436,football,Falcons expected to add former Washington RB Craig Reynolds to practice squad,The team is looking at depth with Devonta Freeman expected to miss multiple weeks.,Falcons expected to add former Washington RB Craig Reynolds to practice squad The team is looking at depth with Devonta Freeman expected to miss multiple weeks.,"[-0.024905112152662348, -0.027717043921867548, 0.019881173578801647, -0.022676064424259748, -0.02238245126235739, 0.0486944869500577, -0.06738947790055012, -0.026612503354133628, -0.04083198837711265, -0.09826636957775856]","[-0.2960052490234375, -0.0687384381890297, 0.16758012771606445, -0.09622486680746078, -0.04255211725831032, -0.057385947555303574, -0.09788819402456284, 0.14368772506713867, 0.2510439157485962, -0.03528350964188576]","[-0.2516106732846915, 0.09083581561465236, 0.019723268890301692, -0.10351781249356892, 0.046907572854331316, -0.15666458999532465, 0.06179788036121699, 0.03438990008314264, 0.07780001447061292, 0.003202651751535686]"
N39004,football,Here's the bad news for Florida State after firing Willie Taggart,The sing-song Florida State chant that provided the soundtrack for college football for the good part of a generation has been muted.,Here's the bad news for Florida State after firing Willie Taggart The sing-song Florida State chant that provided the soundtrack for college football for the good part of a generation has been muted.,"[-0.0685045024709928, -0.002776187141576898, -0.060818772141194, -0.06240334535051792, -0.06827597648096453, 0.01851654502264615, -0.1619176471969026, 0.03682770291596695, 0.09734811351984476, 0.151035553736252]","[-0.18531116843223572, -0.011857669800519943, 0.036550719290971756, -0.19307471811771393, 0.17069998383522034, -0.025409959256649017, -0.10017051547765732, 0.018175937235355377, -0.08333881944417953, -0.12394490838050842]","[-0.14991081449925123, 0.007879106397101553, 0.014409540562382344, 0.04479348450702279, 0.19625630698036536, -0.030411680770883628, 0.05168742125800967, -0.06473797137183945, 0.11172977465658393, -0.021739234687749583]"
