,news_id,general_category,title,abstract,text,tfidf_vector,sbert_vector,openai_vector
0,N54735,football,This former N.J. high school football star has been this season's best NFL trade acquisition | Here's why,"When the Steelers traded a first round draft pick to the Miami Dolphins for second-year free safety Minkah Fitzpatrick, a common reaction was that Pittsburgh got fleeced out of a likely top 10 selection. Two months later, it's clear that it was the Steelers that got away with highway robbery. The Old Bridge native has been playing out of his mind since moving back north. Through seven games in ...","This former N.J. high school football star has been this season's best NFL trade acquisition | Here's why When the Steelers traded a first round draft pick to the Miami Dolphins for second-year free safety Minkah Fitzpatrick, a common reaction was that Pittsburgh got fleeced out of a likely top 10 selection. Two months later, it's clear that it was the Steelers that got away with highway robbery. The Old Bridge native has been playing out of his mind since moving back north. Through seven games in ...","[0.05745462481436752, 0.012450696941838058, -0.01596280256755006, -0.1169083509330994, 0.01440837761077667, -0.06665394353131236, -0.09934369907481005, -0.2053830465396326, -0.08205998431184569, 0.047617316004198884]","[-0.30034834146499634, -0.1283886581659317, -0.17792321741580963, 0.002186661586165428, -0.01805678755044937, -0.05110333114862442, 0.11943037807941437, -0.02529830113053322, 0.08680958300828934, -0.03825477883219719]","[0.23808536014335005, -0.005952934609347428, 0.027083082920010795, 0.07524905111149686, 0.16445533059208542, 0.1455479872539345, 0.011660976281078834, 0.01174022280432328, 0.010067261907404501, -0.24976342464312298]"
1,N39049,baseball,"Cubs By The Numbers: At last, a mystery about an unknown uniform number is solved",The single missing Cubs uniform number has been found... and it's got a fascinating story behind it.,"Cubs By The Numbers: At last, a mystery about an unknown uniform number is solved The single missing Cubs uniform number has been found... and it's got a fascinating story behind it.","[-0.026890831777120358, 0.04043696012799046, -0.005898285961368199, -0.005620714679084696, 0.00010766699221297316, -0.040931173454207784, 0.0049936652556529185, -0.019282320575575274, -0.03783967107991848, 0.051982863267279064]","[0.14353080093860626, -0.02020365558564663, 0.03493219614028931, 0.040235891938209534, -0.09600239992141724, 0.004890682175755501, 0.04995645955204964, -0.22214603424072266, -0.105575792491436, -0.026876727119088173]","[-0.10545920821229135, 0.13336951076965173, -0.08135881275232845, -0.018813258476601914, 0.07296244995149125, 0.049572069122778756, 0.14833870593213702, -0.09181486053919292, 0.1008199278061057, -0.08323845330155379]"
2,N44697,basketball,"With Warriors crumbling, there's officially a new most hated team in the NBA",Sportsinsider.com's extensive Twitter analysis revealed that California-based teams are hated above all other NBA franchises.,"With Warriors crumbling, there's officially a new most hated team in the NBA Sportsinsider.com's extensive Twitter analysis revealed that California-based teams are hated above all other NBA franchises.","[-0.017195313112828927, 0.10645503295532462, 0.1096261816563996, -0.1999729271318505, 0.2128751844430401, 0.17895487762977216, -0.04418041679155343, 0.2014249979034932, 0.2263993212410716, -0.05636326821743494]","[0.20831860601902008, -0.056611135601997375, 0.20138706266880035, -0.2511627674102783, -0.16168774664402008, 0.04313551262021065, -0.1316508650779724, -0.12358006834983826, 0.2545941174030304, -0.06774666905403137]","[-0.13073979211179057, 0.04696464637243465, -0.1474720765239189, 0.1127300652237166, -0.1665881882145789, 0.10381284156640727, 0.0821555479371583, -0.19518085628169324, -0.2905133808669834, -0.07233577734096414]"
3,N22374,football,Chiefs vs Vikings: Five stats to know,Five numbers to know ahead of the Chiefs taking on the Packers on Sunday Night Football,Chiefs vs Vikings: Five stats to know Five numbers to know ahead of the Chiefs taking on the Packers on Sunday Night Football,"[0.13285583051589242, -0.15491247306736083, -0.15599812920767323, 0.16727348173443607, 0.027878075364392713, -0.05021079971555814, 0.06146997248944059, 0.09969019350784354, 0.21264158153546187, 0.20686366317865953]","[-0.3191804587841034, 0.428677499294281, 0.20438426733016968, 0.027254687622189522, -0.04712692275643349, 0.0602896548807621, -0.013887685723602772, 0.003762441221624613, -0.09604674577713013, -0.1360996812582016]","[0.053233423736338346, -0.3323710557016663, -0.10937074084309936, -0.09438740301090225, 0.008297583577419639, -0.16073820946960002, -0.01714054611201366, -0.030744431916770534, -0.07234059902231355, 0.12983635183922707]"
4,N53235,football,Texas grasping for answers after all-phases meltdown vs. TCU,The concrete walls encircling the field at Amon G. Carter Stadium weren't going to be enough to stop the flood.,Texas grasping for answers after all-phases meltdown vs. TCU The concrete walls encircling the field at Amon G. Carter Stadium weren't going to be enough to stop the flood.,"[0.01965769950902849, -0.06830360350390947, -0.062747002611497, 0.03412631649103859, -0.0669546102028809, 0.06241307236108395, 0.03333705208336924, 0.012285415243125212, -0.008458353074497224, -0.003480905760439801]","[0.10753381252288818, 0.14293721318244934, -0.05674657225608826, 0.059173211455345154, 0.05487113818526268, -0.04524650797247887, 0.04409421980381012, -0.2022024393081665, 0.004409241024404764, 0.07804403454065323]","[-0.16440199005870537, -0.0907970964022271, 0.001809079826509632, -0.032393224377659485, -0.04398811810942817, 0.26319532141268853, 0.0730472544335316, -0.03477899276918547, 0.18025578283832233, 0.24968111979757024]"
5,N9625,football,Saturday Dawg Chow: Browns news (10/19/19),More of the latest Browns news and notes from around the web in today's dose of the Saturday Dawg Chow.,Saturday Dawg Chow: Browns news (10/19/19) More of the latest Browns news and notes from around the web in today's dose of the Saturday Dawg Chow.,"[0.020850852920424327, 0.011382231122356187, -0.03149083024413392, -0.030046246605985046, -0.054457708160397786, 0.012312194258747626, -0.02172115030906794, -0.03545751021872659, -0.07474704367812869, -0.08342748751473937]","[-0.23155343532562256, 0.03989751636981964, -0.013196319341659546, 0.1334906965494156, -0.05290696397423744, -0.0792950987815857, -0.06910011917352676, -0.04948731139302254, -0.020618772134184837, -0.166280597448349]","[0.1161462516764, -0.13876269266240304, 0.041923334814508224, 0.051859444363412104, 0.04514496796145988, -0.02003240153412458, 0.1114304189224097, -0.12437220022855308, 0.11529077643538341, -0.1091455732614986]"
6,N7620,misc,Why Damian Lillard and C.J. McCollum have stayed loyal to Portland Trail Blazers,The Trail Blazers' Damian Lillard and C.J. McCollum represent the rare NBA stars who have resisted forging new alliances in different uniforms.,Why Damian Lillard and C.J. McCollum have stayed loyal to Portland Trail Blazers The Trail Blazers' Damian Lillard and C.J. McCollum represent the rare NBA stars who have resisted forging new alliances in different uniforms.,"[-0.033090472236349255, 0.09186158534416561, 0.031448733306031006, -0.07437572063900173, 0.10971500735859271, 0.11629247772677051, -0.0015395789540181288, 0.146215753996996, 0.08333359141899549, -0.04635401014855036]","[0.2023119479417801, -0.16530650854110718, -0.052442874759435654, -0.37783676385879517, -0.038014110177755356, -0.028986863791942596, 0.011136257089674473, -0.012602305971086025, 0.042894408106803894, -0.12699605524539948]","[-0.07223696205867666, 0.22046523417217417, -0.05107755198383063, 0.20100227144432695, -0.016897071945538463, 0.11202759070591652, -0.014857701858853498, 0.07079940722301556, -0.1700817102448728, -0.03653078427834145]"
7,N43670,basketball,Draymond criticizes official for ejection: 'Don't tell me not to talk',"Golden State Warriors forward Draymond Green made Chase Center history during Monday's loss to the Utah Jazz, becoming the first player ejected from a game in the new venue after arguing with an official. The three-time All-Star was given a second technical foul for continuing to plead his case after disagreeing with a blocking call, but it seems Green's spat with the official went beyond just that foul. ""I disagreed with that call,"" Green told...","Draymond criticizes official for ejection: 'Don't tell me not to talk' Golden State Warriors forward Draymond Green made Chase Center history during Monday's loss to the Utah Jazz, becoming the first player ejected from a game in the new venue after arguing with an official. The three-time All-Star was given a second technical foul for continuing to plead his case after disagreeing with a blocking call, but it seems Green's spat with the official went beyond just that foul. ""I disagreed with that call,"" Green told...","[-0.05800589816765717, -0.007856775500847344, -0.05003539507379252, 0.026946110122887345, -0.006632410025745973, -0.004454056097030979, -0.06849197880330177, 0.036305841059129984, 0.04512063990485922, -0.05415665062921772]","[0.195586159825325, -0.16499698162078857, 0.18937407433986664, -0.15602369606494904, 0.21575717628002167, -0.14152836799621582, -0.1446298509836197, -0.0512576587498188, -0.012064704671502113, -0.037040628492832184]","[-0.08779335894481174, 0.174032804566123, -0.016839690836427258, 0.13108623901168062, -0.30549356528903004, 0.10817911723491935, -0.0924309221478207, -0.021888281966907293, -0.06649197049050562, 0.11948651784491907]"
8,N18737,racing,"Keselowski after Kansas cut: 'I don't like it, but it's over now'","Brad Keselowski was eliminated from the NASCAR Playoff after the race at Kansas Speedway, finishing one spot below the cutline with his 19th-place run.","Keselowski after Kansas cut: 'I don't like it, but it's over now' Brad Keselowski was eliminated from the NASCAR Playoff after the race at Kansas Speedway, finishing one spot below the cutline with his 19th-place run.","[-0.07717632037813428, -0.04778043159421467, 0.016853874219456198, -0.03923197860718427, 0.004301358754089641, -0.22001845317539137, 0.3033527302434306, 0.05574440397993338, 0.03595529728991755, -0.05956151743889794]","[0.1296880543231964, 0.05809967592358589, 0.145123690366745, 0.24642612040042877, 0.14101964235305786, 0.07462989538908005, -0.15166504681110382, 0.3110474944114685, -0.05789904668927193, 0.2239372730255127]","[-0.06440909659422812, 0.017779495158004383, -0.07005725446064144, -0.2871645929340958, -0.2115272385739524, 0.01622555348267252, 0.03006769215270073, 0.2560728155672257, -0.049503757715417075, 0.043636367811163146]"
9,N56871,golf,Korn Ferry national qualifier field set at Orange County National,The Korn Ferry Tour National Qualifying Tournament field has been set with 114 players coming out of five second-stage qualifiers last week and this week. They advanced to Orange County National's Cat Crooked Cat and Panthers Lake Courses in Winter Garden Dec. 12-15 to determine eligibility onto the 2020 Korn Ferry Tour. Here's how the finish at OCN will decide the pecking order:   The ...,Korn Ferry national qualifier field set at Orange County National The Korn Ferry Tour National Qualifying Tournament field has been set with 114 players coming out of five second-stage qualifiers last week and this week. They advanced to Orange County National's Cat Crooked Cat and Panthers Lake Courses in Winter Garden Dec. 12-15 to determine eligibility onto the 2020 Korn Ferry Tour. Here's how the finish at OCN will decide the pecking order:   The ...,"[0.06806134946684786, -0.07761796346342716, 0.06997357403268126, -0.055532149600723696, -0.02068407055372179, -0.014416631092314341, 0.03934373121565107, -0.025789253840464585, 0.04060995364566862, 0.062442288252148634]","[0.2236003428697586, 0.12333060801029205, -0.17791809141635895, 0.20021773874759674, 0.005968901794403791, 0.07869593799114227, -0.20391236245632172, 0.0035003777593374252, -0.0358288399875164, -0.16236943006515503]","[-0.1780383880135966, 0.09245421091174554, 0.12538435527625835, -0.2463405423809078, 0.1018032835208982, -0.1299729261062127, 0.11901164940482088, 0.0706109007002435, -0.09888665900460258, -0.017770272952071987]"
