,news_id,general_category,title,abstract
0,N8975,football,Randall Cobb's touchdown against the Vikings was absolutely unreal,Let's take a look at an amazing Cowboys touchdown.
1,N53265,hockey,Morning Bag Skate: 10-20-19,A daily look at hockey news around the world.
2,N27884,misc,Cincinnati vs Drake Basketball Preview: 6 Questions,John Brannen makes his home debut as Cincinnati hosts Drake in men's basketball on Monday.
3,N14353,baseball,Anthony Rizzo wins Gold Glove,The Cubs first baseman won his third Gold Glove for defensive excellence.
4,N42356,football,Trade Tracker: Would teams rather have Rashaad Penny or Le'Veon Bell?,No abstract available
5,N41438,golf,Megan Khang makes hole-in-one during Buick LPGA Shanghai final round,No abstract available
6,N25630,golf,Defending champ Korda wins LPGA Swinging Skirts in playoff,"TAIPEI, Taiwan (AP)   Defending champion Nelly Korda birdied the first hole of a three-way playoff on Sunday to win the LPGA Swinging Skirts. Korda and Minjee Lee both birdied the final hole of regulation to finish at 18-under 270 and force a playoff with Caroline Masson, who shot a 68. Korda, who started the final round with a three-stroke lead over Lee (69), looked set to win in regulation after a birdie on the par-5 No. 12. But she bogeyed..."
7,N30763,football,"Vikings place center Brett Jones on injured reserve, promote tackle Aviante Collins","The Vikings shuffled offensive line depth Thursday as center Brett Jones' knee injury was deemed season ending. Jones was placed on injured reserve, replaced on the active roster by tackle Aviante Collins' promotion from the practice squad. Collins, 26, has had his NFL career derailed by injuries so far, spending last year on injured reserve due to torn biceps and missing this preseason due to ..."
8,N31213,football,Nick Saban on Donald Trump attending Alabama-LSU: It's an honor he's interested enough to come,No abstract available
9,N45376,football,Colts 'encouraged and optimistic' Jacoby Brissett plays vs. Jaguars,No abstract available
10,N27212,football,Instant analysis of Seattle's 32-28 victory over Cleveland,"In what was perhaps the strangest, ugliest game of the 2019 season, the Seattle Seahawks defeated the Cleveland Browns 32-28 to advance to 5-1 on the year."
