,news_id,general_category,title,abstract
0,N2073,football,Should NFL be able to fine players for criticizing officiating?,Several fines came down against NFL players for criticizing officiating this week. It's a very bad look for the league.
1,N29120,football,"John Dorsey admits talks with Washington, but it ""takes two to tango""","Team officials in Washington ""emphatically"" denied a rumor of a Trent Williams trade to Cleveland, according to a report Tuesday. A day later, Browns General Manager John Dorsey admitted publicly he has talked to Washington president Bruce Allen. ""We've had a few conversations,"" Dorsey said, via Mary Kay Cabot of the Cleveland Plain Dealer. ""It [more]"
2,N64498,golf,PGA Tour winners,A gallery of recent winners on the PGA Tour.
3,N63175,basketball,"LA rivalry takes on new meaning for fans as Lakers, Clippers in hunt for NBA championship","NBA Finals MVP Kawhi Leonard and other Clippers say they are used to taunts and booing from Lakers fans, who are ""like a religion"" in Tinseltown."
4,N5124,basketball,Phil Fulmer blasts NCAA after key Tennessee freshman denied eligibility,"Uros Plavsic, a redshirt freshman who transferred from Arizona State after a coaching change, will not be allowed to suit up for the Vols this season."
5,N41106,golf,Randall's Rant: Is Tiger already the GOAT without 18 majors?,"We may never understand what Tiger Woods has gone through off the golf course, but even so, does that make him the GOAT without 18 majors?"
6,N27435,misc,Locked On Suns Wednesday: Suns blast Kings to begin 2019-20 season,"What a way to begin the season for the Phoenix Suns, winning 124-95 over the Kings."
7,N1032,racing,All of Kevin Harvick's Monster Energy Series victories,Recap all of Kevin Harvick's Monster Energy NASCAR Cup Series wins throughout his career in the sport's top series.
8,N57388,baseball,So far the World Series is one big reminder that you can't predict October baseball,You only needed to stand by the exit of Minute Maid Park for a few minutes in the eighth inning of World Series Game 2 to know what Astros fans thought of the mauling that was still taking place.
9,N64723,football,All eyes on Drew Brees as possibility of return nears,"Will this be the week Drew Brees returns as the Saints starting quarterback? ""That's the plan, we'll see,"" Brees responded when he was asked Wednesday about playing Sunday against the Arizona Cardinals. Brees had surgery to repair a ligament in his right thumb on Sept. 18. During Wednesday's walk-through practice Brees could be seen flexing his thumb, which was still in a brace. We will see what Brees' participation in the walk-through was after..."
10,N27190,football,"Redskins place TE Jordan Reed on injured reserve, ending his season","The Redskins are calling it quits on the season for Jordan Reed, placing him on the IR as he continues to battle back from a concussion."
11,N9035,football,"NFL Week 9 Odds: Point Spreads, Betting Lines For All 14 Football Games",Another week has passed and still the New England Patriots and San Francisco ers remain undefeated. That very well could change in Week though particularly for the Patriots who have
